,ret_only,econ_data_only,both
USDJPY,0.6190476190476191,0.5789473684210527,0.5789473684210527
USDGBP,0.5454545454545454,0.625,0.25
USDCHF,,,
USDAUD,0.0,,0.0
USDCAD,0.5,0.5263157894736842,0.5789473684210527
USDNZD,,,
USDNOK,0.6666666666666666,0.625,0.625
USDSEK,0.6666666666666666,0.8333333333333334,0.6666666666666666
USDEUR,0.5882352941176471,0.4117647058823529,0.47058823529411764
JPYUSD,,,
JPYGBP,,,
JPYCHF,,,
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.625,0.8333333333333334,0.8333333333333334
JPYSEK,0.875,0.16666666666666666,0.3333333333333333
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.18181818181818182,0.5,0.375
GBPCHF,,,
GBPAUD,0.5,1.0,1.0
GBPCAD,0.7,0.75,0.875
GBPNZD,,,
GBPNOK,0.5,0.3333333333333333,0.3333333333333333
GBPSEK,0.2857142857142857,0.5,0.5
GBPEUR,0.7,0.5,0.625
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,1.0,0.0,0.0
AUDGBP,,,
AUDCHF,,,
AUDCAD,0.6666666666666666,1.0,1.0
AUDNZD,,,
AUDNOK,0.6666666666666666,1.0,1.0
AUDSEK,0.5,,
AUDEUR,,,
CADUSD,,,
CADJPY,0.4444444444444444,0.4,0.3333333333333333
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,0.6666666666666666,0.5714285714285714,0.5714285714285714
CADSEK,0.25,0.16666666666666666,0.16666666666666666
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,,,
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.6666666666666666,0.5,0.75
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,,,
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.47058823529411764,0.26666666666666666,0.4
EURGBP,,,
EURCHF,,,
EURAUD,0.6666666666666666,0.0,0.0
EURCAD,0.5294117647058824,0.47058823529411764,0.5294117647058824
EURNZD,,,
EURNOK,0.6666666666666666,0.625,0.75
EURSEK,0.4444444444444444,0.5,0.5
