,ret_only,econ_data_only,both
USDJPY,0.48717948717948717,0.48717948717948717,0.4230769230769231
USDGBP,0.5641025641025641,0.5256410256410257,0.5769230769230769
USDCHF,0.46153846153846156,0.48717948717948717,0.47435897435897434
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,0.358974358974359,0.48717948717948717,0.46153846153846156
USDSEK,0.5512820512820513,0.48717948717948717,0.358974358974359
USDEUR,0.4358974358974359,0.4375,0.4375
JPYUSD,,,
JPYGBP,,,
JPYCHF,0.5769230769230769,0.5897435897435898,0.5256410256410257
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.41025641025641024,0.5897435897435898,0.5256410256410257
JPYSEK,0.4358974358974359,0.4358974358974359,0.4230769230769231
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.47435897435897434,0.4358974358974359,0.44871794871794873
GBPCHF,0.5256410256410257,0.6282051282051282,0.48717948717948717
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,0.5128205128205128,0.44871794871794873,0.5
GBPSEK,0.5512820512820513,0.5,0.44871794871794873
GBPEUR,0.47368421052631576,0.5789473684210527,0.43859649122807015
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,0.3717948717948718,0.5384615384615384,0.5128205128205128
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.5512820512820513,0.5641025641025641,0.44871794871794873
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,0.5641025641025641,0.6025641025641025,0.7051282051282052
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.48717948717948717,0.546875,0.53125
EURGBP,,,
EURCHF,0.42105263157894735,0.45614035087719296,0.45614035087719296
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,0.5641025641025641,0.53125,0.453125
EURSEK,0.5384615384615384,0.515625,0.5625
