,spread,realized_ret,base_econ,pricing_econ,spread_shift1,realized_ret_shift1,base_econ_shift1,pricing_econ_shift1
USDJPY_1M,0.0,0.0,0.08511089533567429,0.0956834927201271,0.0,0.02538757212460041,0.01978464238345623,0.07719063758850098
USDGBP_1M,0.04386775568127632,0.05414088815450668,0.011171323247253895,0.07440623641014099,0.0,0.030553964897990227,0.0,0.021100252866744995
USDEUR_1M,0.09730370342731476,0.09008411318063736,0.050246287137269974,0.038252271711826324,0.0378737710416317,0.1212054118514061,0.0,0.058708593249320984
GBPJPY_1M,0.13673244416713715,0.0,0.0,0.09549099951982498,0.19690215587615967,0.0,0.10856132209300995,0.03910426050424576
GBPEUR_1M,0.028474997729063034,0.03015413135290146,0.0,0.06657916307449341,0.1255873590707779,0.033088162541389465,0.04437321051955223,0.05293009802699089
EURJPY_1M,0.014497864060103893,0.11515164375305176,0.03989633917808533,0.054488833993673325,0.06934534758329391,0.0,0.063112273812294,0.0
USDJPY_3M,0.07194337993860245,0.08437551558017731,0.15018776059150696,0.11057533323764801,0.15345367789268494,0.11145482212305069,0.13733822107315063,0.1806713044643402
USDGBP_3M,0.0933661013841629,0.0722702294588089,0.14281447231769562,0.15396445989608765,0.10326871275901794,0.31445133686065674,0.0318736732006073,0.08799096196889877
USDAUD_3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USDCAD_3M,0.09953411668539047,0.13380703330039978,0.12875039875507355,0.13543763756752014,0.10513541847467422,0.09762971103191376,0.1925809532403946,0.10712476074695587
USDNOK_3M,0.0,0.09211679548025131,0.2735304534435272,0.10633757710456848,0.08006767183542252,0.2358599752187729,0.11303495615720749,0.09905258566141129
USDSEK_3M,0.21382080018520355,0.08974721282720566,0.09170828014612198,0.0,0.05086329206824303,0.10001306980848312,0.16918934881687164,0.28465795516967773
USDEUR_3M,0.12991784512996674,0.07745489478111267,0.1359056830406189,0.17061053216457367,0.14514312148094177,0.10176587104797363,0.16332268714904785,0.07587934285402298
JPYNOK_3M,0.17782121896743774,0.0967193990945816,0.06928955018520355,0.0,0.08505948632955551,0.04037758708000183,0.5307328104972839,0.0
JPYSEK_3M,0.09057354182004929,0.17388153076171875,0.0,0.14474228024482727,0.18832837045192719,0.23794543743133545,0.09980881959199905,0.0647200495004654
GBPJPY_3M,0.09630069136619568,0.14399109780788422,0.15604908764362335,0.09765887260437012,0.07344608753919601,0.07786794751882553,0.282014936208725,0.0726713314652443
GBPAUD_3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GBPCAD_3M,0.17218226194381714,0.08273665606975555,0.09811777621507645,0.07462114095687866,0.23180072009563446,0.11821863800287247,0.08866634219884872,0.13365648686885834
GBPNOK_3M,0.0,0.11799822747707367,0.0,0.10760589689016342,0.194625124335289,0.2929004728794098,0.07624389231204987,0.21062633395195007
GBPSEK_3M,0.14899159967899323,0.2456883192062378,0.09169339388608932,0.0,0.0,0.21020366251468658,0.22842010855674744,0.07500291615724564
GBPEUR_3M,0.18506097793579102,0.11851737648248672,0.08723081648349762,0.17083485424518585,0.07739923894405365,0.05777294933795929,0.159661665558815,0.14352215826511383
AUDJPY_3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDCAD_3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUDNOK_3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CADJPY_3M,0.1486109048128128,0.054194375872612,0.10192683339118958,0.08963262289762497,0.10042508691549301,0.1366083174943924,0.1485895812511444,0.22001223266124725
CADNOK_3M,0.30576756596565247,0.14777469635009766,0.0,0.07677413523197174,0.3024583160877228,0.0,0.03481529653072357,0.1324099600315094
CADSEK_3M,0.14986158907413483,0.2532503008842468,0.18213775753974915,0.0,0.0,0.12004094570875168,0.12094021588563919,0.17376914620399475
NOKSEK_3M,0.25348418951034546,0.35389038920402527,0.0,0.23205113410949707,0.16057434678077698,0.0,0.0,0.0
EURJPY_3M,0.11527048051357269,0.15157945454120636,0.13067154586315155,0.10780289769172668,0.11490771919488907,0.12447398900985718,0.10674181580543518,0.1485520452260971
EURAUD_3M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EURCAD_3M,0.11567890644073486,0.10469760745763779,0.11497821658849716,0.07595818489789963,0.17833495140075684,0.152216836810112,0.18396703898906708,0.07416831701993942
EURNOK_3M,0.18993507325649261,0.23204737901687622,0.037187132984399796,0.18217343091964722,0.24004524946212769,0.043684590607881546,0.07492710649967194,0.0
EURSEK_3M,0.6846778392791748,0.07684154063463211,0.08632060885429382,0.0,0.0,0.07806427776813507,0.0,0.0740957260131836
