,spread,base_econ,pricing_econ,spread_shift1,realized_ret_shift1,base_econ_shift1,pricing_econ_shift1
USDJPY_1M,0.044544562697410583,0.03187847137451172,0.04515625536441803,0.039376769214868546,0.04391438513994217,0.04590483754873276,0.05153006687760353
USDGBP_1M,0.03274937719106674,0.02889886312186718,0.029741132631897926,0.04335783049464226,0.04013817012310028,0.05400203540921211,0.06904438883066177
USDCHF_1M,0.03823553025722504,0.05602782964706421,0.042540423572063446,0.0472852997481823,0.0352184996008873,0.04527901113033295,0.033451057970523834
USDNOK_1M,0.03507544845342636,0.030237581580877304,0.04073736444115639,0.03640370815992355,0.04365140199661255,0.0356285385787487,0.06379494816064835
USDSEK_1M,0.04901827871799469,0.028537321835756302,0.04091200605034828,0.045030124485492706,0.046002041548490524,0.04080292209982872,0.044330332428216934
USDEUR_1M,0.04991946741938591,0.05561850592494011,0.04468344524502754,0.04465527459979057,0.04227298125624657,0.025813046842813492,0.03669673204421997
JPYCHF_1M,0.04952240362763405,0.04845413565635681,0.03234165906906128,0.04151919484138489,0.06253606081008911,0.04964058846235275,0.04275995492935181
JPYNOK_1M,0.050174977630376816,0.03576825186610222,0.04689501225948334,0.032264407724142075,0.05466243997216225,0.0367441400885582,0.022432100027799606
JPYSEK_1M,0.042286649346351624,0.04066774249076843,0.048510126769542694,0.047228578478097916,0.05166031792759895,0.041078921407461166,0.04121711105108261
GBPJPY_1M,0.041957467794418335,0.05269331485033035,0.058868344873189926,0.030818043276667595,0.038191795349121094,0.06641430407762527,0.040023986250162125
GBPCHF_1M,0.05295923352241516,0.05056540668010712,0.043618787080049515,0.03238043934106827,0.04993168264627457,0.0433182567358017,0.048387397080659866
GBPNOK_1M,0.048185016959905624,0.0332958847284317,0.05348146706819534,0.05107182264328003,0.044199388474226,0.043460775166749954,0.037603721022605896
GBPSEK_1M,0.04425552859902382,0.029322609305381775,0.04032391309738159,0.06538527458906174,0.042102012783288956,0.034720130264759064,0.031496379524469376
GBPEUR_1M,0.04586227238178253,0.05325337126851082,0.035059623420238495,0.03617238625884056,0.03805167227983475,0.048149120062589645,0.03768853470683098
NOKCHF_1M,0.044340524822473526,0.05218181014060974,0.04080323502421379,0.041950542479753494,0.0413629375398159,0.039629530161619186,0.05704645812511444
NOKSEK_1M,0.05599457398056984,0.037608351558446884,0.0386580154299736,0.04236141964793205,0.040627121925354004,0.05627191811800003,0.042643431574106216
SEKCHF_1M,0.03731870651245117,0.04816615954041481,0.03970397263765335,0.03291471675038338,0.03488831967115402,0.04112487658858299,0.07286456227302551
EURJPY_1M,0.05597065016627312,0.051954708993434906,0.049322329461574554,0.031175630167126656,0.048237577080726624,0.05350205674767494,0.039262957870960236
EURCHF_1M,0.020638806745409966,0.03696827590465546,0.03840777277946472,0.06530474126338959,0.041651565581560135,0.03793473169207573,0.05086219310760498
EURNOK_1M,0.03311797231435776,0.01998702436685562,0.03666926175355911,0.07051397860050201,0.039443112909793854,0.05483603477478027,0.03672435134649277
EURSEK_1M,0.02991049736738205,0.03735881298780441,0.059960223734378815,0.03673207759857178,0.03269753232598305,0.030521061271429062,0.03560713678598404
USDJPY_3M,0.14971579611301422,0.15320974588394165,0.14000561833381653,0.14309003949165344,0.16025838255882263,0.1383916586637497,0.11532879620790482
USDGBP_3M,0.09679937362670898,0.12042956799268723,0.11340666562318802,0.14842307567596436,0.17482352256774902,0.09477259963750839,0.25134512782096863
USDCHF_3M,0.14961881935596466,0.12218119204044342,0.19741150736808777,0.11757874488830566,0.14152027666568756,0.14187048375606537,0.12981893122196198
USDNOK_3M,0.09474065154790878,0.1272873878479004,0.23011426627635956,0.12780089676380157,0.14036531746387482,0.0866137444972992,0.1930776834487915
USDSEK_3M,0.15000946819782257,0.10558539628982544,0.12287263572216034,0.19869579374790192,0.10381899029016495,0.1341172605752945,0.18490047752857208
JPYCHF_3M,0.16230033338069916,0.08849222213029861,0.14958004653453827,0.11508380621671677,0.1607135832309723,0.21458445489406586,0.10924557596445084
JPYNOK_3M,0.16126303374767303,0.11827787756919861,0.10969588905572891,0.19984255731105804,0.14810481667518616,0.13346879184246063,0.1293470561504364
JPYSEK_3M,0.10504431277513504,0.11212103068828583,0.20895937085151672,0.15373241901397705,0.142572820186615,0.13999581336975098,0.13757428526878357
GBPJPY_3M,0.18620137870311737,0.141487717628479,0.16794165968894958,0.119379423558712,0.16051633656024933,0.1071426123380661,0.11733084172010422
GBPCHF_3M,0.15251614153385162,0.16177096962928772,0.127681702375412,0.14663943648338318,0.10929404944181442,0.14955250918865204,0.15254518389701843
GBPNOK_3M,0.1948392391204834,0.11089130491018295,0.19525139033794403,0.12293247878551483,0.11160218715667725,0.0971250906586647,0.16735820472240448
GBPSEK_3M,0.1553976982831955,0.13069507479667664,0.1325293481349945,0.11985921114683151,0.1589464247226715,0.12282518297433853,0.179747074842453
NOKCHF_3M,0.09870955348014832,0.1694851666688919,0.1158396527171135,0.16821950674057007,0.13098932802677155,0.21027880907058716,0.1064780130982399
NOKSEK_3M,0.2071480005979538,0.11967244744300842,0.1588263064622879,0.13728880882263184,0.13143505156040192,0.1185278594493866,0.12710152566432953
SEKCHF_3M,0.13926616311073303,0.1281728744506836,0.14475445449352264,0.14319825172424316,0.12774528563022614,0.11653111129999161,0.20033185184001923
