,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,1.47708709337195,2.3512274648372844,0.895378810481064
USDGBP,0.7797380695479554,1.244025884023382,0.5090530806630765
USDCHF,,,
USDAUD,,,
USDCAD,2.1154253580446234,1.630578256759752,2.9124038966492445
USDNZD,,,
USDNOK,1.9249782212255762,1.5488376721809514,1.5488376721809514
USDSEK,0.7268675108845483,0.5826299059667757,1.3615550790959814
USDEUR,1.069618095291587,0.6228222852076826,1.2965694884422587
JPYUSD,,,
JPYGBP,,,
JPYCHF,,,
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.43933788294467696,0.43933788294467696,0.43933788294467696
JPYSEK,4.582400125546083,2.357144135779177,0.2213259834585878
JPYEUR,,,
GBPUSD,,,
GBPJPY,1.4836234090025622,3.3257771559701084,3.3257771559701084
GBPCHF,,,
GBPAUD,,,
GBPCAD,0.7946875438940199,0.7247766843029835,1.057477116800268
GBPNZD,,,
GBPNOK,2.5086844631650185,,19.205649242403123
GBPSEK,5.447284130879278,5.447284130879278,5.447284130879278
GBPEUR,0.36363630218263066,0.35623721020542465,0.8618844141365234
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,0.5423910880730822,0.5368122109733291,0.7744498293653062
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,2.597058035442684,2.597058035442684,2.5978133539986223
CADSEK,,20.183545610882593,1.7411855789703115
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,,,
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,1.0963513830041434,1.0387939755336955,1.0387939755336955
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,,,
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.9696927431405375,1.252801092629297,0.6690040152391472
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,0.8264884303968898,1.5808651565783265,0.6152587021909468
EURNZD,,,
EURNOK,1.0212839248126475,1.2962554311642434,1.134256210997241
EURSEK,1.80903605099988,1.1660218335937413,1.1660218335937413
