,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.6676851517676236,1.5647786897393015,1.0694079395815261
USDGBP,0.947957970996046,0.724058304098347,1.6480210585461172
USDCHF,0.9347558323059024,1.0264216029847502,1.4044305286666017
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,0.8340697659863641,1.3510499701964103,0.8103578803376469
USDSEK,1.3973056479113877,1.060179124812176,0.9337181265863315
USDEUR,,,
JPYUSD,,,
JPYGBP,,,
JPYCHF,0.9364755284243726,1.006668423731027,1.6620726817945415
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,1.2336641591275253,0.7824159678224234,1.0036369894089852
JPYSEK,0.5774749518678717,0.8084806482846303,0.8871594310178738
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.5961904105473718,0.5400077813697606,0.7456513777343594
GBPCHF,0.5649156784876866,1.2625904781032113,1.4187314057025298
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,0.9463073658188923,1.0757389066004763,0.9952309216233273
GBPSEK,1.7222483918258784,0.6588325952064024,1.529852416449743
GBPEUR,,,
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,0.8596023855034236,1.173631911769427,0.9466461827352258
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.7731392600818472,1.3194737981413378,0.6401322639106707
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,0.902616016304918,1.0804220149550845,1.6193307310607026
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,,,
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,,,
EURSEK,,,
