,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.5555555555555556,0.5555555555555556,0.6666666666666666
USDGBP,0.2857142857142857,0.5714285714285714,0.7142857142857143
USDCHF,,,
USDAUD,0.0,0.0,
USDCAD,0.6111111111111112,0.6111111111111112,0.6111111111111112
USDNZD,,,
USDNOK,0.5714285714285714,0.42857142857142855,0.42857142857142855
USDSEK,0.6,0.4,0.4
USDEUR,0.5,0.4375,0.625
JPYUSD,,,
JPYGBP,,,
JPYCHF,,,
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.8,0.8,0.8
JPYSEK,0.4,0.4,0.4
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.42857142857142855,0.5714285714285714,0.5714285714285714
GBPCHF,,,
GBPAUD,,,
GBPCAD,0.8571428571428571,0.2857142857142857,0.14285714285714285
GBPNZD,,,
GBPNOK,0.4,1.0,0.8
GBPSEK,0.6,0.6,0.6
GBPEUR,0.7142857142857143,0.5714285714285714,0.8571428571428571
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,0.35714285714285715,0.5,0.5714285714285714
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,0.5,0.5,0.3333333333333333
CADSEK,0.0,0.8,0.4
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,,,
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.6666666666666666,0.3333333333333333,0.3333333333333333
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,,,
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,0.42857142857142855,0.42857142857142855,0.42857142857142855
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,0.5,0.625,0.4375
EURNZD,,,
EURNOK,0.7142857142857143,0.5714285714285714,0.5714285714285714
EURSEK,0.4,0.4,0.4
