,Agg_Ori,Agg_PCA,Fea_PCA
USDJPY,0.6538461538461539,0.6538461538461539,0.5769230769230769
USDGBP,0.5769230769230769,0.4230769230769231,0.38461538461538464
USDCHF,0.4230769230769231,0.5769230769230769,0.34615384615384615
USDAUD,,,
USDCAD,,,
USDNZD,,,
USDNOK,0.34615384615384615,0.6923076923076923,0.5
USDSEK,0.4230769230769231,0.23076923076923078,0.34615384615384615
USDEUR,,,
JPYUSD,,,
JPYGBP,,,
JPYCHF,0.38461538461538464,0.34615384615384615,0.46153846153846156
JPYAUD,,,
JPYCAD,,,
JPYNZD,,,
JPYNOK,0.5,0.5384615384615384,0.5384615384615384
JPYSEK,0.46153846153846156,0.5,0.4230769230769231
JPYEUR,,,
GBPUSD,,,
GBPJPY,0.46153846153846156,0.4230769230769231,0.4230769230769231
GBPCHF,0.5769230769230769,0.5384615384615384,0.46153846153846156
GBPAUD,,,
GBPCAD,,,
GBPNZD,,,
GBPNOK,0.6923076923076923,0.5769230769230769,0.5769230769230769
GBPSEK,0.4230769230769231,0.46153846153846156,0.6153846153846154
GBPEUR,,,
CHFUSD,,,
CHFJPY,,,
CHFGBP,,,
CHFAUD,,,
CHFCAD,,,
CHFNZD,,,
CHFNOK,,,
CHFSEK,,,
CHFEUR,,,
AUDUSD,,,
AUDJPY,,,
AUDGBP,,,
AUDCHF,,,
AUDCAD,,,
AUDNZD,,,
AUDNOK,,,
AUDSEK,,,
AUDEUR,,,
CADUSD,,,
CADJPY,,,
CADGBP,,,
CADCHF,,,
CADAUD,,,
CADNZD,,,
CADNOK,,,
CADSEK,,,
CADEUR,,,
NZDUSD,,,
NZDJPY,,,
NZDGBP,,,
NZDCHF,,,
NZDAUD,,,
NZDCAD,,,
NZDNOK,,,
NZDSEK,,,
NZDEUR,,,
NOKUSD,,,
NOKJPY,,,
NOKGBP,,,
NOKCHF,0.6153846153846154,0.7692307692307693,0.5769230769230769
NOKAUD,,,
NOKCAD,,,
NOKNZD,,,
NOKSEK,0.46153846153846156,0.46153846153846156,0.6153846153846154
NOKEUR,,,
SEKUSD,,,
SEKJPY,,,
SEKGBP,,,
SEKCHF,0.46153846153846156,0.6153846153846154,0.38461538461538464
SEKAUD,,,
SEKCAD,,,
SEKNZD,,,
SEKNOK,,,
SEKEUR,,,
EURUSD,,,
EURJPY,,,
EURGBP,,,
EURCHF,,,
EURAUD,,,
EURCAD,,,
EURNZD,,,
EURNOK,,,
EURSEK,,,
